Country,Population,Birth_Rate,Life_expectancy,Latitude,Longitude,continent,date,total_cases,total_deaths,total_vaccinations,total_tests,new_cases,2022_Population,2020_Population,Rank,Growth_Rate,Area,Density
Switzerland,"8,574,832",10,83.6,46.818188,8.227512,Europe,12/24/2020,428197,7287,695,3137219,4898,8740472,8638613,101,1.0056,41284,211.7157
Denmark,"5,818,553",10.6,81,56.26392,9.501785,Europe,12/24/2020,146341,1114,23,9994860,2869,5882261,5825641,115,1.0048,43094,136.4984
Costa Rica,"5,047,561",13.97,80.1,9.748917,-83.753428,North America,12/24/2020,162990,2086,55,411532,1048,5180829,5123105,124,1.0052,51100,101.3861
United States,"328,239,523",11.6,78.5,37.09024,-95.712891,North America,12/24/2020,18801631,334145,2817450,247489059,211510,338289857,335942003,3,1.0038,9372610,36.0935
Bahrain,"1,501,635",13.99,77.2,26.0667,50.5577,Asia,12/24/2020,91070,350,50071,2291410,253,1472233,1477469,154,1.0061,765,1924.4876
Mexico,"126,014,024",17.6,75,23.634501,-102.552784,North America,12/24/2020,1362564,121172,2924,3283892,12485,127504125,125998302,10,1.0063,1964375,64.9082
Switzerland,"8,574,832",10,83.6,46.818188,8.227512,Europe,12/25/2020,428197,7352,696,3150158,0,8740472,8638613,101,1.0056,41284,211.7157
Bahrain,"1,501,635",13.99,77.2,26.0667,50.5577,Asia,12/25/2020,91304,351,50543,2300729,234,1472233,1477469,154,1.0061,765,1924.4876
Norway,"5,347,896",10.4,82.8,60.472024,8.468946,Europe,12/25/2020,46248,421,111,2646613,317,5434319,5379839,120,1.0058,323802,16.7828
Liechtenstein,"38,019",9.9,83,47.1410392,9.520935,Europe,12/25/2020,2034,34,0,19911,34,39327,38756,216,1.0074,160,245.7937
United States,"328,239,523",11.6,78.5,37.09024,-95.712891,North America,12/25/2020,18922332,335650,2830092,248567837,120701,338289857,335942003,3,1.0038,9372610,36.0935
Chile,"18,952,038",12.43,80,-35.675147,-71.542969,South America,12/25/2020,595831,16358,5199,6253346,1679,19603733,19300315,65,1.0057,756102,25.9274
Canada,"36,991,981",10.1,81.9,56.130366,-106.346771,North America,12/25/2020,548944,15845,48792,17405025,5924,38454327,37888705,39,1.0078,9984670,3.8513
